Années de comptage;Identifiant;Nom du lieu de comptage;Date complète;Date;Heure;Jour de la semaine;VAE;bicloo;Autres vélos;Total
2017;1003;Pont Audibert rive Nord;2017-09-28T14:00:00+02:00;2017-09-28;14:00:00;jeudi;16;22;205;243
2014;1000;Quai de la Fosse;2014-09-18T17:30:00+02:00;2014-09-18;17:30:00;jeudi;16;54;295;365
2013;1000;Quai de la Fosse;2013-10-01T17:30:00+02:00;2013-10-01;17:30:00;mardi;19;37;225;281
2019;1002;Intersection de boulevards Michelet, Orrion et Orieux;2019-09-19T14:00:00+02:00;2019-09-19;14:00:00;jeudi;20;1;55;76
2020;1000;Quai de la Fosse;2020-09-24T14:00:00+02:00;2020-09-24;14:00:00;jeudi;22;10;125;157
2020;1003;Pont Audibert rive Nord;2020-09-24T14:00:00+02:00;2020-09-24;14:00:00;jeudi;34;10;160;204
2019;1000;Quai de la Fosse;2019-09-19T14:00:00+02:00;2019-09-19;14:00:00;jeudi;35;11;170;216
2018;1002;Intersection de boulevards Michelet, Orrion et Orieux;2018-09-20T17:30:00+02:00;2018-09-20;17:30:00;jeudi;59;5;160;224
2020;1000;Quai de la Fosse;2020-09-17T17:30:00+02:00;2020-09-17;17:30:00;jeudi;167;55;531;753
2014;1003;Pont Audibert rive Nord;2014-09-25T14:00:00+02:00;2014-09-25;14:00:00;jeudi;;43;167;210
2014;1003;Pont Audibert rive Nord;2014-09-18T17:30:00+02:00;2014-09-18;17:30:00;jeudi;;75;384;459
2014;1003;Pont Audibert rive Nord;2014-09-25T17:30:00+02:00;2014-09-25;17:30:00;jeudi;;68;442;510
2015;1003;Pont Audibert rive Nord;2015-09-24T17:30:00+02:00;2015-09-24;17:30:00;jeudi;;71;469;540
2010;1004;Cours des 50 otages à l'intersection de la rue des halles;2010-09-15T17:30:00+02:00;2010-09-15;17:30:00;mercredi;1;27;219;247
2011;1002;Intersection de boulevards Michelet, Orrion et Orieux;2011-09-29T14:00:00+02:00;2011-09-29;14:00:00;jeudi;2;4;66;72
2012;1001;Bd Kennedy devant le Chateau;2012-09-20T14:00:00+02:00;2012-09-20;14:00:00;jeudi;2;20;100;122
2015;1002;Intersection de boulevards Michelet, Orrion et Orieux;2015-09-17T17:30:00+02:00;2015-09-17;17:30:00;jeudi;2;8;185;195
2012;1004;Cours des 50 otages à l'intersection de la rue des halles;2012-09-20T17:30:00+02:00;2012-09-20;17:30:00;jeudi;2;76;351;429
2012;1002;Intersection de boulevards Michelet, Orrion et Orieux;2012-09-27T17:30:00+02:00;2012-09-27;17:30:00;jeudi;3;4;159;166
2013;1002;Intersection de boulevards Michelet, Orrion et Orieux;2013-09-24T17:30:00+02:00;2013-09-24;17:30:00;mardi;3;24;181;208
2011;1004;Cours des 50 otages à l'intersection de la rue des halles;2011-09-22T17:30:00+02:00;2011-09-22;17:30:00;jeudi;3;53;230;286
2011;1004;Cours des 50 otages à l'intersection de la rue des halles;2011-09-22T14:00:00+02:00;2011-09-22;14:00:00;jeudi;4;23;132;159
2015;1001;Bd Kennedy devant le Chateau;2015-09-24T17:30:00+02:00;2015-09-24;17:30:00;jeudi;4;30;170;204
2012;1002;Intersection de boulevards Michelet, Orrion et Orieux;2012-09-20T17:30:00+02:00;2012-09-20;17:30:00;jeudi;4;17;191;212
2012;1000;Quai de la Fosse;2012-09-20T17:30:00+02:00;2012-09-20;17:30:00;jeudi;4;31;209;244
2011;1004;Cours des 50 otages à l'intersection de la rue des halles;2011-09-29T14:00:00+02:00;2011-09-29;14:00:00;jeudi;5;29;156;190
2020;1002;Intersection de boulevards Michelet, Orrion et Orieux;2020-09-17T14:00:00+02:00;2020-09-17;14:00:00;jeudi;6;2;95;103
2016;1001;Bd Kennedy devant le Chateau;2016-09-29T14:00:00+02:00;2016-09-29;14:00:00;jeudi;8;21;168;197
2018;1001;Bd Kennedy devant le Chateau;2018-09-27T14:00:00+02:00;2018-09-27;14:00:00;jeudi;9;15;180;204
2017;1000;Quai de la Fosse;2017-09-28T14:00:00+02:00;2017-09-28;14:00:00;jeudi;14;10;206;230
2016;1003;Pont Audibert rive Nord;2016-09-22T17:30:00+02:00;2016-09-22;17:30:00;jeudi;14;74;555;643
2016;1000;Quai de la Fosse;2016-09-29T14:00:00+02:00;2016-09-29;14:00:00;jeudi;15;26;171;212
2016;1004;Cours des 50 otages à l'intersection de la rue des halles;2016-09-22T14:00:00+02:00;2016-09-22;14:00:00;jeudi;17;46;237;300
2013;1003;Pont Audibert rive Nord;2013-09-24T17:30:00+02:00;2013-09-24;17:30:00;mardi;17;59;359;435
2019;1001;Bd Kennedy devant le Chateau;2019-09-26T14:00:00+02:00;2019-09-26;14:00:00;jeudi;18;19;103;140
2016;1003;Pont Audibert rive Nord;2016-09-29T17:30:00+02:00;2016-09-29;17:30:00;jeudi;18;72;499;589
2015;1000;Quai de la Fosse;2015-09-17T17:30:00+02:00;2015-09-17;17:30:00;jeudi;20;54;310;384
2017;1002;Intersection de boulevards Michelet, Orrion et Orieux;2017-09-28T17:30:00+02:00;2017-09-28;17:30:00;jeudi;27;5;174;206
2015;1000;Quai de la Fosse;2015-09-24T17:30:00+02:00;2015-09-24;17:30:00;jeudi;30;47;264;341
2019;1000;Quai de la Fosse;2019-09-19T17:30:00+02:00;2019-09-19;17:30:00;jeudi;73;33;538;644
2018;1004;Cours des 50 otages à l'intersection de la rue des halles;2018-09-20T17:30:00+02:00;2018-09-20;17:30:00;jeudi;97;52;729;878
2020;1003;Pont Audibert rive Nord;2020-09-17T17:30:00+02:00;2020-09-17;17:30:00;jeudi;129;66;728;923
2020;1003;Pont Audibert rive Nord;2020-09-24T17:30:00+02:00;2020-09-24;17:30:00;jeudi;133;36;547;716
2010;1001;Bd Kennedy devant le Chateau;2010-09-15T17:30:00+02:00;2010-09-15;17:30:00;mercredi;0;25;149;174
2010;1003;Pont Audibert rive Nord;2010-09-22T17:30:00+02:00;2010-09-22;17:30:00;mercredi;0;23;235;258
2011;1001;Bd Kennedy devant le Chateau;2011-09-29T17:30:00+02:00;2011-09-29;17:30:00;jeudi;1;26;160;187
2012;1001;Bd Kennedy devant le Chateau;2012-09-27T14:00:00+02:00;2012-09-27;14:00:00;jeudi;2;19;78;99
2011;1001;Bd Kennedy devant le Chateau;2011-09-22T14:00:00+02:00;2011-09-22;14:00:00;jeudi;2;19;85;106
2011;1000;Quai de la Fosse;2011-09-29T14:00:00+02:00;2011-09-29;14:00:00;jeudi;3;11;99;113
2012;1003;Pont Audibert rive Nord;2012-09-27T17:30:00+02:00;2012-09-27;17:30:00;jeudi;5;20;283;308
2015;1000;Quai de la Fosse;2015-09-17T14:00:00+02:00;2015-09-17;14:00:00;jeudi;6;18;124;148
2014;1004;Cours des 50 otages à l'intersection de la rue des halles;2014-09-25T14:00:00+02:00;2014-09-25;14:00:00;jeudi;8;48;185;241
2014;1002;Intersection de boulevards Michelet, Orrion et Orieux;2014-09-18T17:30:00+02:00;2014-09-18;17:30:00;jeudi;9;16;154;179
2019;1000;Quai de la Fosse;2019-09-26T14:00:00+02:00;2019-09-26;14:00:00;jeudi;14;12;115;141
2018;1001;Bd Kennedy devant le Chateau;2018-09-20T14:00:00+02:00;2018-09-20;14:00:00;jeudi;15;13;168;196
2016;1002;Intersection de boulevards Michelet, Orrion et Orieux;2016-09-22T17:30:00+02:00;2016-09-22;17:30:00;jeudi;15;9;207;231
2020;1001;Bd Kennedy devant le Chateau;2020-09-24T14:00:00+02:00;2020-09-24;14:00:00;jeudi;16;10;162;188
2018;1003;Pont Audibert rive Nord;2018-09-27T14:00:00+02:00;2018-09-27;14:00:00;jeudi;18;26;261;305
2017;1003;Pont Audibert rive Nord;2017-09-21T14:00:00+02:00;2017-09-21;14:00:00;jeudi;18;29;289;336
2013;1004;Cours des 50 otages à l'intersection de la rue des halles;2013-09-24T17:30:00+02:00;2013-09-24;17:30:00;mardi;32;99;525;656
2018;1004;Cours des 50 otages à l'intersection de la rue des halles;2018-09-20T14:00:00+02:00;2018-09-20;14:00:00;jeudi;50;20;310;380
2019;1004;Cours des 50 otages à l'intersection de la rue des halles;2019-09-26T14:00:00+02:00;2019-09-26;14:00:00;jeudi;55;22;272;349
2018;1003;Pont Audibert rive Nord;2018-09-27T17:30:00+02:00;2018-09-27;17:30:00;jeudi;64;55;697;816
2019;1004;Cours des 50 otages à l'intersection de la rue des halles;2019-09-26T17:30:00+02:00;2019-09-26;17:30:00;jeudi;105;46;491;642
2015;1000;Quai de la Fosse;2015-09-24T14:00:00+02:00;2015-09-24;14:00:00;jeudi;;12;105;117
2015;1003;Pont Audibert rive Nord;2015-09-24T14:00:00+02:00;2015-09-24;14:00:00;jeudi;;16;145;161
2015;1004;Cours des 50 otages à l'intersection de la rue des halles;2015-09-24T14:00:00+02:00;2015-09-24;14:00:00;jeudi;;;234;234
2014;1001;Bd Kennedy devant le Chateau;2014-09-18T17:30:00+02:00;2014-09-18;17:30:00;jeudi;;44;279;323
