Numéro de boucle;Libellé;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Probabilité de présence d'anomalies;Jour de la semaine
0665;Bonduelle vers Nord;2021-01-17;1;0;0;0;0;0;1;1;2;12;12;26;24;15;21;30;35;27;15;5;6;8;2;1;;7
0666;Pont Audibert vers Sud;2021-01-17;0;0;0;0;0;0;2;0;1;6;5;1;8;7;4;8;4;8;1;3;6;1;1;0;;7
0674;Pont Haudaudine vers Sud;2021-01-17;2;0;0;1;1;0;1;1;1;9;15;13;20;17;17;30;12;17;18;11;10;7;1;1;;7
0675;Pont Haudaudine vers Nord;2021-01-17;0;1;0;0;0;0;2;0;5;6;10;17;17;18;15;25;19;42;8;13;6;5;0;0;;7
0743;Philippot vers ouest;2021-01-17;1;0;0;1;0;0;2;2;8;13;18;25;28;24;41;41;37;51;23;4;18;6;2;1;;7
0787;50 Otages Vers Sud;2021-01-17;0;0;0;1;0;2;6;5;21;37;47;100;89;69;87;96;100;100;22;9;10;8;1;1;;7
0880;Madeleine vers Nord;2021-01-17;0;0;1;0;1;1;9;5;16;35;41;48;79;48;69;91;61;96;25;12;14;14;5;0;;7
0986;Tremie vers Ouest;2021-01-17;0;0;0;0;0;0;0;1;3;1;5;5;1;4;10;13;6;9;4;4;2;1;1;0;;7
0682;pont Anne de Bretagne vers Sud;2021-01-17;0;1;0;0;5;1;1;1;11;21;60;56;66;28;76;129;88;94;14;7;7;4;1;0;;7
0747;Chemin de halage Tortière vers Nord;2021-01-17;0;0;0;0;0;0;0;0;8;17;30;62;40;22;51;58;33;30;8;3;0;2;0;0;;7
0890;Pont de Pirmil vers Sud;2021-01-17;0;3;3;1;1;2;5;7;13;37;74;100;105;72;87;108;115;126;49;12;21;10;1;0;;7
0945;Magellan vers Ouest;2021-01-17;0;0;1;0;2;0;2;2;2;9;14;19;39;27;19;42;41;28;10;9;5;1;4;1;;7
0947;Bd Malakoff vers Ouest;2021-01-17;0;0;0;0;0;0;0;1;0;10;8;25;30;18;32;42;53;38;5;0;0;1;0;0;;7
0948;Bd Malakoff vers Est;2021-01-17;0;0;0;0;0;0;0;0;3;9;29;28;29;16;38;39;35;14;5;2;4;1;0;0;;7
0987;Tremie vers Est;2021-01-17;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;Forte;7
0664;Bonduelle vers sud;2021-01-17;0;1;0;1;0;0;3;2;6;8;19;20;33;15;30;36;25;33;20;6;10;4;5;4;;7
0670;Pont de Pirmil vers Sud;2021-01-17;0;1;1;1;1;1;3;1;4;20;24;23;14;15;23;42;14;16;5;6;3;3;3;0;;7
0676;Pont Willy Brandt vers Beaulieu;2021-01-17;0;0;0;0;1;1;0;0;1;7;5;14;11;9;22;24;18;29;2;2;2;0;1;1;;7
0679;Bd Malakoff vers Gare Sud;2021-01-17;0;0;0;0;0;0;0;0;0;3;1;6;4;9;6;5;6;5;1;2;1;0;0;0;;7
0683;pont Anne de Bretagne vers Nord;2021-01-17;1;2;1;0;0;0;0;0;3;9;19;44;59;24;31;77;61;70;18;9;11;4;4;0;;7
0725;Pont Tabarly vers Sud;2021-01-17;1;0;0;0;0;0;2;1;5;9;10;19;26;13;20;35;22;22;7;2;1;3;1;1;;7
0788;50 Otages Vers Nord;2021-01-17;2;1;0;1;1;1;1;6;10;26;57;104;99;49;51;92;90;120;37;16;11;8;2;0;;7
0946;Magellan vers Est;2021-01-17;1;0;1;0;0;0;5;0;3;4;17;24;43;19;29;47;47;51;26;5;11;1;1;1;;7
0959;Sorinières Vers Sud;2021-01-17;0;0;0;0;0;0;0;0;0;1;9;3;3;5;8;8;3;3;0;1;2;2;0;0;;7
0673;Pont de Pornic vers Sud;2021-01-17;1;1;0;0;0;0;0;1;3;0;3;9;19;4;9;20;11;19;4;5;2;0;0;0;;7
0944;Magellan vers Est;2021-01-17;0;0;0;0;0;0;0;0;1;3;10;17;17;12;12;26;23;20;3;1;2;1;1;0;;7
0981;Pont Tabarly vers Nord;2021-01-17;0;0;0;0;0;0;0;0;1;5;15;13;11;11;12;16;21;19;1;0;0;0;0;0;;7
0989;Kennedy vers Ouest;2021-01-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;7
0995;Ceineray vers Ouest;2021-01-17;0;0;0;0;0;1;0;0;4;7;18;32;34;31;40;69;50;51;12;4;2;1;0;0;;7
0667;Entrée pont Audibert vers Nord;2021-01-17;0;1;1;3;2;0;8;13;14;32;52;92;94;67;72;94;122;136;54;24;29;8;4;1;;7
0669;De Gaulle sortie Clémenceau vers Nord;2021-01-17;0;0;0;1;0;0;3;2;3;9;10;29;20;11;16;32;29;29;5;3;6;8;2;0;;7
0672;Pont de Pornic vers Nord;2021-01-17;3;0;0;0;0;0;3;2;2;6;13;43;54;21;32;56;36;44;17;4;5;0;1;0;;7
0742;Philippot vers Est;2021-01-17;5;6;1;0;0;1;14;17;5;20;15;16;29;33;27;36;41;59;13;8;8;3;1;0;;7
0746;Chemin de halage Tortière vers Sud;2021-01-17;0;0;0;0;0;1;1;1;1;7;41;45;40;27;22;50;56;65;6;0;0;0;0;0;;7
0847;Entrée pont Audibert vers Sud;2021-01-17;0;1;3;0;1;3;8;7;12;30;52;72;99;74;73;112;85;105;32;19;25;18;9;0;;7
0977;3 Continents vers Nord;2021-01-17;0;0;0;0;3;0;0;0;6;9;15;12;0;6;12;18;21;45;0;0;0;0;0;0;;7
0668;De Gaulle vers sud;2021-01-17;0;0;1;0;0;1;4;1;6;7;12;15;28;12;23;28;15;20;12;5;8;4;1;3;;7
0677;Pont Willy Brandt vers Malakoff;2021-01-17;0;0;0;0;0;0;0;0;2;0;1;8;10;5;10;18;15;17;6;4;1;5;1;0;;7
0681;Stalingrad vers est;2021-01-17;1;0;1;0;0;0;0;1;2;3;8;22;20;19;19;29;13;39;17;11;15;4;4;0;;7
0727;Pont Tabarly vers Nord;2021-01-17;0;0;1;0;0;1;1;2;3;15;25;34;31;15;25;44;43;27;8;2;2;2;0;0;;7
0745;Calvaire vers Ouest;2021-01-17;0;0;0;0;0;0;0;0;0;0;0;3;5;0;2;4;8;2;2;0;2;1;0;1;;7
0786;50 Otages Vers Nord;2021-01-17;1;0;0;0;0;0;0;2;0;3;4;49;104;78;68;99;148;166;33;0;0;3;0;0;;7
0881;Madeleine vers Sud;2021-01-17;1;1;0;1;0;1;4;12;8;24;48;82;75;61;73;90;109;113;48;17;14;7;3;1;;7
0979;3 Continents vers Sud;2021-01-17;3;0;0;0;0;0;3;0;0;18;57;96;66;60;86;108;117;75;3;6;0;0;3;0;;7
0994;Ceineray vers Est;2021-01-17;0;0;0;0;0;0;0;3;1;8;12;33;35;17;14;36;41;47;8;3;3;2;2;0;;7
0996;Van Iseghem vers Nord;2021-01-17;0;0;0;0;0;0;0;0;7;12;32;49;37;13;33;39;25;31;7;1;0;2;0;0;;7
9999;;2021-01-17;18;14;13;13;7;10;15;10;4;1;5;14;12;8;9;10;8;24;11;14;12;16;10;3;;7
0744;Calvaire vers Est;2021-01-17;0;0;0;0;0;0;0;1;5;15;16;27;29;15;20;15;24;21;11;11;4;7;1;0;;7
0949;avenue de la Libération vers Sud;2021-01-17;1;0;0;0;0;1;0;0;5;5;5;6;12;6;3;5;15;12;6;7;4;1;1;0;;7
0960;Sorinières Vers Nord;2021-01-17;0;0;0;0;0;0;0;0;0;0;3;2;3;1;7;10;8;1;0;0;0;0;0;0;;7
0980;Pont Tabarly vers Sud;2021-01-17;0;0;0;0;0;0;0;0;0;1;0;6;3;4;5;5;2;4;3;0;1;0;0;0;;7
0988;Kennedy vers Est;2021-01-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;7
9998;;2021-01-17;2;1;0;1;2;0;0;0;2;4;9;16;13;16;12;22;12;23;14;10;12;4;0;0;;7
0950;avenue de la Libération vers Nord;2021-01-17;0;0;0;1;1;0;0;0;2;8;12;19;10;15;29;22;13;24;5;4;5;2;0;0;;7
0680;Stalingrad vers ouest;2021-01-17;0;1;2;1;0;0;1;1;5;7;15;30;21;12;29;22;33;36;14;11;17;4;2;1;;7
0785;50 Otages Vers Sud;2021-01-17;2;2;1;1;3;3;13;15;53;83;123;175;114;83;121;132;124;144;69;35;32;31;6;2;;7
0943;Magellan vers Ouest;2021-01-17;1;0;0;0;0;0;0;2;1;5;5;7;16;8;10;26;18;16;2;3;1;1;1;0;;7
0997;Van Iseghem vers Sud;2021-01-17;0;0;0;0;0;1;2;2;7;1;24;40;33;8;21;7;33;34;6;1;0;0;1;0;;7
0664;Bonduelle vers sud;2021-01-16;2;2;3;0;2;0;3;4;8;15;15;15;41;23;21;16;17;31;15;7;10;2;2;1;;6
0668;De Gaulle vers sud;2021-01-16;1;2;0;0;0;1;2;3;4;6;6;13;26;10;15;9;8;20;10;6;2;5;2;3;;6
0670;Pont de Pirmil vers Sud;2021-01-16;1;1;0;2;1;1;3;0;4;10;5;8;9;11;8;5;3;12;6;4;3;3;0;0;;6
0880;Madeleine vers Nord;2021-01-16;1;1;2;1;2;2;9;10;28;29;27;51;52;50;41;39;62;90;37;7;9;10;3;1;;6
0948;Bd Malakoff vers Est;2021-01-16;0;2;0;0;0;0;0;0;1;4;6;7;11;8;7;6;3;10;1;2;4;1;0;0;;6
0949;avenue de la Libération vers Sud;2021-01-16;0;0;0;0;0;0;0;4;1;1;1;4;7;5;4;5;4;3;4;5;6;4;0;0;;6
0959;Sorinières Vers Sud;2021-01-16;0;0;0;0;0;1;0;0;1;2;2;3;1;2;1;0;1;0;0;0;0;0;0;0;;6
0960;Sorinières Vers Nord;2021-01-16;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;;6
0981;Pont Tabarly vers Nord;2021-01-16;0;0;1;0;0;0;0;1;4;6;5;6;6;7;4;4;2;1;0;0;2;0;0;0;;6
0665;Bonduelle vers Nord;2021-01-16;0;0;1;0;1;2;2;4;14;18;16;19;19;18;20;5;17;24;6;7;6;4;0;0;;6
0667;Entrée pont Audibert vers Nord;2021-01-16;3;1;2;2;2;3;16;24;28;55;58;76;85;54;82;70;38;50;34;14;16;15;6;1;;6
0676;Pont Willy Brandt vers Beaulieu;2021-01-16;0;0;0;0;2;2;0;2;7;5;10;4;9;11;4;6;5;8;2;4;1;2;2;1;;6
0677;Pont Willy Brandt vers Malakoff;2021-01-16;0;0;0;0;0;0;0;1;1;3;3;2;8;9;5;3;4;2;1;2;0;1;0;0;;6
0745;Calvaire vers Ouest;2021-01-16;1;0;0;0;0;0;0;1;0;3;4;4;14;3;4;8;10;7;4;1;5;1;0;0;;6
0881;Madeleine vers Sud;2021-01-16;1;1;2;1;2;3;11;16;26;52;49;77;71;50;75;69;38;39;23;14;16;11;6;2;;6
0986;Tremie vers Ouest;2021-01-16;0;2;0;0;0;0;1;1;6;10;8;11;4;5;7;6;2;7;1;2;1;0;0;0;;6
9998;;2021-01-16;0;0;0;0;0;1;2;4;6;9;12;25;30;10;15;20;39;39;17;42;17;22;26;7;;6
0672;Pont de Pornic vers Nord;2021-01-16;0;1;0;1;3;2;2;4;10;19;16;26;25;28;22;14;20;29;12;5;4;2;1;0;;6
0673;Pont de Pornic vers Sud;2021-01-16;0;0;2;0;0;0;0;2;0;2;4;5;13;4;9;2;5;5;6;4;1;0;0;0;;6
0674;Pont Haudaudine vers Sud;2021-01-16;1;2;0;0;1;1;1;0;6;10;14;36;33;33;20;16;28;29;13;7;8;4;1;1;;6
0681;Stalingrad vers est;2021-01-16;3;0;1;0;2;0;0;2;3;7;12;21;28;15;12;20;23;23;21;4;3;2;3;1;;6
0683;pont Anne de Bretagne vers Nord;2021-01-16;1;0;2;1;0;2;1;2;4;8;12;29;21;20;17;21;13;26;18;12;11;3;2;0;;6
0785;50 Otages Vers Sud;2021-01-16;2;0;1;1;0;6;9;11;40;49;67;76;153;125;184;132;135;180;70;35;32;28;10;5;;6
0786;50 Otages Vers Nord;2021-01-16;0;1;0;1;0;0;0;0;1;1;6;1;6;4;6;6;5;4;1;1;2;0;0;1;;6
0944;Magellan vers Est;2021-01-16;0;0;0;0;0;0;0;0;1;0;2;5;9;6;2;5;7;8;4;2;1;0;0;0;;6
0950;avenue de la Libération vers Nord;2021-01-16;0;0;0;1;3;0;1;1;9;11;11;10;15;6;8;10;4;8;1;5;4;7;0;1;;6
0680;Stalingrad vers ouest;2021-01-16;0;2;0;3;1;1;4;10;9;19;16;21;20;16;10;18;8;19;7;7;3;2;2;0;;6
0744;Calvaire vers Est;2021-01-16;1;1;0;0;0;1;3;5;5;16;20;33;37;22;27;24;22;26;16;11;8;5;1;0;;6
0747;Chemin de halage Tortière vers Nord;2021-01-16;1;0;1;0;0;0;2;1;15;12;18;12;24;18;7;17;18;17;6;0;1;0;0;0;;6
0890;Pont de Pirmil vers Sud;2021-01-16;1;1;2;3;6;4;6;17;32;52;46;62;72;50;61;56;50;63;34;11;10;7;3;3;;6
0945;Magellan vers Ouest;2021-01-16;1;0;1;0;1;0;2;4;4;5;5;12;16;14;10;13;18;19;8;6;5;2;0;0;;6
0987;Tremie vers Est;2021-01-16;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;Forte;6
0666;Pont Audibert vers Sud;2021-01-16;0;0;0;0;0;0;1;1;1;2;3;6;5;8;4;4;1;5;1;4;3;3;1;0;;6
0727;Pont Tabarly vers Nord;2021-01-16;1;0;1;0;0;1;2;2;5;10;6;6;15;6;9;8;10;4;4;2;0;1;1;0;;6
0947;Bd Malakoff vers Ouest;2021-01-16;0;0;0;0;0;0;0;1;4;5;6;9;6;3;13;7;7;5;0;2;0;0;1;0;;6
0979;3 Continents vers Sud;2021-01-16;0;0;3;0;6;3;6;9;9;42;18;66;36;36;27;51;30;42;9;3;0;0;3;3;;6
0994;Ceineray vers Est;2021-01-16;0;0;0;0;0;1;2;2;7;6;23;16;39;23;9;15;4;41;5;2;1;2;1;0;;6
0997;Van Iseghem vers Sud;2021-01-16;0;0;0;1;0;0;0;2;6;7;16;20;9;9;12;5;15;11;2;1;0;0;0;0;;6
0669;De Gaulle sortie Clémenceau vers Nord;2021-01-16;0;0;0;0;3;2;3;4;9;20;16;12;12;17;13;6;8;11;1;6;4;5;0;0;;6
0788;50 Otages Vers Nord;2021-01-16;1;3;1;0;2;2;3;7;19;30;27;25;85;60;85;37;25;86;32;18;5;3;2;1;;6
0980;Pont Tabarly vers Sud;2021-01-16;0;0;0;0;0;0;0;0;1;0;0;1;2;1;5;1;2;0;0;1;0;0;0;0;;6
0996;Van Iseghem vers Nord;2021-01-16;0;0;0;1;1;0;1;3;5;2;13;9;14;10;5;8;13;12;3;1;2;0;0;0;;6
0675;Pont Haudaudine vers Nord;2021-01-16;2;0;0;0;0;1;3;3;7;19;39;35;22;25;26;21;22;20;7;9;7;3;1;2;;6
0682;pont Anne de Bretagne vers Sud;2021-01-16;3;2;1;2;1;1;3;7;12;17;11;38;26;26;20;28;19;29;8;6;11;1;0;1;;6
0725;Pont Tabarly vers Sud;2021-01-16;1;0;0;0;0;1;3;2;3;5;8;6;14;7;3;4;10;19;2;3;3;5;2;0;;6
0742;Philippot vers Est;2021-01-16;0;1;0;2;6;0;2;5;19;25;24;46;33;35;38;29;27;32;10;5;5;3;2;0;;6
0743;Philippot vers ouest;2021-01-16;1;0;0;0;0;0;1;5;18;29;33;48;47;20;32;13;24;30;14;13;5;8;1;0;;6
0746;Chemin de halage Tortière vers Sud;2021-01-16;0;0;1;1;0;1;0;0;4;7;25;25;17;13;16;7;10;17;4;1;0;0;0;0;;6
0847;Entrée pont Audibert vers Sud;2021-01-16;0;2;4;1;1;4;3;6;27;30;35;57;71;60;58;52;70;100;53;11;9;15;5;1;;6
0946;Magellan vers Est;2021-01-16;2;0;1;1;0;0;2;2;4;5;9;11;28;17;15;13;5;18;11;2;4;3;0;1;;6
0988;Kennedy vers Est;2021-01-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;6
0995;Ceineray vers Ouest;2021-01-16;1;1;0;2;0;2;1;2;11;22;33;30;37;23;20;24;15;23;7;3;5;0;0;1;;6
9999;;2021-01-16;3;0;2;1;0;2;2;0;2;5;4;12;23;13;6;5;12;17;19;31;16;9;5;10;;6
0679;Bd Malakoff vers Gare Sud;2021-01-16;0;0;0;0;0;0;1;0;0;2;2;6;2;5;1;3;0;2;1;4;0;0;1;0;;6
0787;50 Otages Vers Sud;2021-01-16;1;0;0;0;0;6;7;9;29;40;75;67;82;49;57;63;30;57;14;14;13;4;2;0;;6
0943;Magellan vers Ouest;2021-01-16;0;0;0;0;0;0;1;2;0;3;4;2;5;3;4;0;3;5;3;0;0;0;0;0;;6
0977;3 Continents vers Nord;2021-01-16;0;0;0;0;0;0;3;6;0;6;15;21;24;12;6;3;21;18;3;3;0;0;3;0;;6
0989;Kennedy vers Ouest;2021-01-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;6
0672;Pont de Pornic vers Nord;2021-01-15;0;0;1;0;1;3;5;54;143;61;26;27;43;42;35;31;67;111;85;52;18;5;1;1;;5
0679;Bd Malakoff vers Gare Sud;2021-01-15;0;0;0;0;1;1;1;1;3;4;2;1;8;1;8;6;7;7;9;2;5;0;0;0;;5
0683;pont Anne de Bretagne vers Nord;2021-01-15;0;0;0;1;0;1;7;39;65;31;12;25;51;39;22;30;46;89;80;59;21;12;0;0;;5
0786;50 Otages Vers Nord;2021-01-15;0;1;0;0;0;1;2;5;8;4;2;5;67;16;94;125;55;23;17;9;0;3;0;1;;5
0880;Madeleine vers Nord;2021-01-15;2;3;2;1;0;5;16;61;160;96;52;50;86;84;70;67;118;156;153;108;38;14;4;3;;5
0946;Magellan vers Est;2021-01-15;0;2;0;1;0;2;7;31;80;41;27;28;34;41;29;30;31;72;59;28;11;5;2;0;;5
0677;Pont Willy Brandt vers Malakoff;2021-01-15;0;0;0;0;0;2;2;22;36;18;4;11;19;18;5;6;16;26;12;12;6;2;1;0;;5
0725;Pont Tabarly vers Sud;2021-01-15;0;1;0;0;0;2;4;10;47;27;7;7;17;22;15;11;36;37;31;20;6;3;3;1;;5
0785;50 Otages Vers Sud;2021-01-15;6;0;2;1;2;6;25;93;267;149;136;166;232;249;138;117;244;466;410;276;98;47;14;10;;5
0881;Madeleine vers Sud;2021-01-15;1;2;0;0;3;4;21;90;169;103;69;53;93;93;96;83;113;164;175;90;36;17;2;3;;5
0980;Pont Tabarly vers Sud;2021-01-15;1;0;0;0;0;0;0;6;2;2;3;1;3;2;1;0;4;4;3;1;0;0;0;0;;5
0986;Tremie vers Ouest;2021-01-15;0;0;0;0;0;0;3;12;36;12;9;6;8;18;7;8;16;28;15;5;3;1;2;1;;5
0995;Ceineray vers Ouest;2021-01-15;0;1;0;0;0;3;7;31;105;54;31;46;44;40;38;24;47;54;48;27;10;2;1;0;;5
0950;avenue de la Libération vers Nord;2021-01-15;0;0;1;0;1;4;15;42;75;29;16;19;19;24;18;19;28;31;16;14;5;3;3;1;;5
0664;Bonduelle vers sud;2021-01-15;0;0;1;0;1;3;6;24;90;36;20;30;41;37;29;33;51;101;76;50;13;4;7;0;;5
0744;Calvaire vers Est;2021-01-15;0;0;0;1;1;3;2;17;43;37;26;31;29;37;32;29;41;68;84;43;12;10;3;2;;5
0747;Chemin de halage Tortière vers Nord;2021-01-15;0;0;0;0;0;1;1;43;56;28;17;20;27;33;33;18;33;48;42;20;8;2;0;2;;5
0981;Pont Tabarly vers Nord;2021-01-15;0;1;0;0;0;2;0;8;5;4;5;4;3;10;4;6;6;7;6;9;1;0;1;0;;5
0996;Van Iseghem vers Nord;2021-01-15;0;0;0;0;0;0;1;17;25;7;9;9;17;18;14;14;16;28;25;17;5;4;1;3;;5
9999;;2021-01-15;4;0;2;3;1;3;6;13;9;5;6;8;20;23;20;15;22;25;22;34;22;7;7;2;;5
0667;Entrée pont Audibert vers Nord;2021-01-15;1;3;0;0;4;8;37;153;274;152;99;83;109;121;108;85;133;172;176;87;33;20;2;4;;5
0674;Pont Haudaudine vers Sud;2021-01-15;0;0;1;0;1;2;3;21;54;61;21;31;53;36;32;28;43;63;57;52;25;13;2;1;;5
0676;Pont Willy Brandt vers Beaulieu;2021-01-15;0;0;0;0;3;2;1;21;56;22;10;11;29;26;15;17;32;47;38;15;9;1;5;1;;5
0727;Pont Tabarly vers Nord;2021-01-15;0;0;0;0;1;1;7;28;36;23;16;19;27;16;14;13;21;30;21;17;9;2;0;1;;5
0742;Philippot vers Est;2021-01-15;3;1;0;1;2;2;17;50;102;59;28;32;55;46;41;47;62;110;79;44;27;40;40;2;;5
0743;Philippot vers ouest;2021-01-15;1;0;0;0;0;0;5;35;89;61;31;40;55;43;37;40;63;79;93;54;17;6;8;1;;5
0787;50 Otages Vers Sud;2021-01-15;1;0;0;2;0;6;20;59;210;107;65;60;114;79;86;83;106;131;108;69;23;9;3;2;;5
0959;Sorinières Vers Sud;2021-01-15;1;0;0;0;1;0;1;8;7;1;8;3;5;2;2;4;4;4;5;2;1;1;0;1;;5
0987;Tremie vers Est;2021-01-15;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;Faible;5
0989;Kennedy vers Ouest;2021-01-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;5
0890;Pont de Pirmil vers Sud;2021-01-15;2;2;2;3;2;8;33;138;227;123;71;55;98;77;90;96;157;179;158;114;32;11;16;5;;5
0945;Magellan vers Ouest;2021-01-15;2;0;1;0;0;4;4;18;51;33;19;17;30;35;29;27;34;66;45;14;15;8;5;3;;5
0947;Bd Malakoff vers Ouest;2021-01-15;0;0;0;0;0;0;2;19;44;18;7;12;11;14;9;16;24;23;24;2;4;2;1;0;;5
0949;avenue de la Libération vers Sud;2021-01-15;0;1;0;1;0;0;0;1;11;7;8;4;12;11;7;14;19;22;18;13;4;2;3;0;;5
0979;3 Continents vers Sud;2021-01-15;0;0;0;0;0;0;0;0;3;0;5;3;1;57;39;57;90;174;108;69;27;3;3;6;;5
0668;De Gaulle vers sud;2021-01-15;1;0;0;0;1;2;4;12;44;21;10;19;31;25;25;28;54;79;82;50;23;6;5;0;;5
0669;De Gaulle sortie Clémenceau vers Nord;2021-01-15;2;0;0;0;1;2;15;50;109;56;27;26;31;28;20;22;27;40;26;18;9;8;2;0;;5
0670;Pont de Pirmil vers Sud;2021-01-15;0;0;1;1;1;2;9;21;21;11;10;5;13;26;15;21;25;16;22;17;10;7;2;0;;5
0675;Pont Haudaudine vers Nord;2021-01-15;1;1;0;0;0;2;8;30;80;38;25;35;47;36;39;46;39;70;64;33;14;10;3;1;;5
0680;Stalingrad vers ouest;2021-01-15;0;0;0;3;2;4;6;24;47;31;20;21;32;23;15;14;35;55;35;20;12;13;6;2;;5
0681;Stalingrad vers est;2021-01-15;0;1;0;1;2;1;4;6;27;16;7;18;28;20;25;22;24;44;54;50;22;6;8;2;;5
0745;Calvaire vers Ouest;2021-01-15;1;0;0;0;0;0;0;3;4;4;0;6;6;6;2;6;8;10;17;5;6;3;0;1;;5
0944;Magellan vers Est;2021-01-15;0;0;0;0;0;0;1;20;23;10;9;4;6;10;11;9;18;27;17;7;2;1;1;0;;5
0977;3 Continents vers Nord;2021-01-15;3;0;0;0;0;6;9;9;21;12;7;12;9;39;3;27;15;21;30;9;6;0;0;0;;5
0988;Kennedy vers Est;2021-01-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;5
0673;Pont de Pornic vers Sud;2021-01-15;0;1;0;0;0;3;2;13;17;10;7;4;12;10;11;7;10;24;16;11;8;1;0;2;;5
0746;Chemin de halage Tortière vers Sud;2021-01-15;0;0;0;0;1;1;2;21;51;21;20;14;33;32;20;34;45;55;36;15;1;1;0;0;;5
0847;Entrée pont Audibert vers Sud;2021-01-15;8;4;5;1;0;6;16;61;150;97;44;62;112;108;104;91;160;201;185;141;59;34;11;5;;5
0943;Magellan vers Ouest;2021-01-15;0;0;0;0;0;0;1;7;27;7;5;4;6;8;6;10;13;23;14;3;4;1;1;0;;5
9998;;2021-01-15;0;0;2;0;0;0;6;7;20;15;4;11;7;6;17;23;27;36;27;20;20;11;4;1;;5
0665;Bonduelle vers Nord;2021-01-15;0;1;1;0;1;1;16;34;61;51;17;26;47;28;34;35;44;53;42;39;12;11;2;1;;5
0666;Pont Audibert vers Sud;2021-01-15;0;0;1;0;0;0;3;6;7;5;2;3;11;8;17;12;19;30;20;11;14;6;0;2;;5
0682;pont Anne de Bretagne vers Sud;2021-01-15;0;0;0;0;1;3;7;37;146;76;44;25;46;47;37;39;58;73;56;53;19;7;5;2;;5
0788;50 Otages Vers Nord;2021-01-15;2;1;0;0;1;4;4;44;85;46;52;52;93;110;63;74;92;176;154;141;56;23;6;3;;5
0948;Bd Malakoff vers Est;2021-01-15;0;0;0;0;0;0;4;14;44;8;10;11;18;15;12;16;20;30;27;12;8;2;1;0;;5
0960;Sorinières Vers Nord;2021-01-15;0;0;0;0;0;1;1;3;1;2;2;3;2;1;3;5;4;5;1;1;0;0;0;1;;5
0994;Ceineray vers Est;2021-01-15;1;0;0;1;0;2;1;12;35;18;12;15;33;37;31;21;30;68;62;44;13;5;0;3;;5
0997;Van Iseghem vers Sud;2021-01-15;0;0;0;0;0;0;3;17;60;13;16;14;15;15;15;11;28;23;19;11;3;0;0;0;;5
0670;Pont de Pirmil vers Sud;2021-01-14;0;0;0;1;1;2;10;26;32;7;4;2;10;13;10;12;20;27;24;26;11;11;2;0;;4
0673;Pont de Pornic vers Sud;2021-01-14;0;0;0;0;0;1;2;12;20;12;1;7;6;7;9;6;7;29;21;8;4;2;0;0;;4
0676;Pont Willy Brandt vers Beaulieu;2021-01-14;0;0;0;0;1;1;4;25;59;26;12;6;14;13;3;10;21;56;53;24;8;2;0;1;;4
0679;Bd Malakoff vers Gare Sud;2021-01-14;0;0;0;0;0;0;0;3;3;3;3;2;5;1;1;2;8;9;6;3;1;1;0;0;;4
0680;Stalingrad vers ouest;2021-01-14;1;1;0;0;4;0;8;18;50;26;13;14;23;24;12;17;29;45;30;25;4;4;1;2;;4
0727;Pont Tabarly vers Nord;2021-01-14;1;0;0;0;1;2;6;23;46;14;9;8;11;16;11;10;19;28;30;13;2;2;0;2;;4
0880;Madeleine vers Nord;2021-01-14;0;0;1;2;0;2;10;77;207;95;25;21;47;76;46;39;85;144;156;99;38;20;6;3;;4
0669;De Gaulle sortie Clémenceau vers Nord;2021-01-14;1;1;0;0;1;2;14;57;121;44;13;9;20;23;11;13;27;40;29;15;9;5;3;2;;4
0681;Stalingrad vers est;2021-01-14;2;1;0;0;1;0;2;15;25;17;3;8;27;20;22;14;31;56;72;44;16;8;5;0;;4
0683;pont Anne de Bretagne vers Nord;2021-01-14;1;1;0;1;0;2;2;32;77;26;20;15;28;35;20;30;37;81;106;68;23;8;3;1;;4
0743;Philippot vers ouest;2021-01-14;1;0;0;0;0;0;7;36;97;62;22;28;48;54;34;30;38;78;99;78;17;10;5;3;;4
0785;50 Otages Vers Sud;2021-01-14;1;2;0;4;3;8;26;176;501;274;101;89;209;218;144;168;223;429;481;304;107;51;12;8;;4
0949;avenue de la Libération vers Sud;2021-01-14;0;0;0;1;0;1;0;6;11;2;4;1;7;4;7;2;10;24;24;21;8;7;1;0;;4
0987;Tremie vers Est;2021-01-14;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;1;0;0;1;0;0;0;;4
