Années de comptage;Identifiant du lieu de comptage;Nom du lieu de comptage;Date complète;Date;Heure;Jour de la semaine;Comptage relevé
2017;1001;Bd Kennedy devant le Chateau vers l'ouest;2017-09-28T14:00:00+02:00;2017-09-28;14:00:00;jeudi;97
2014;1001;Bd Kennedy devant le Chateau vers l'ouest;2014-09-18T17:30:00+02:00;2014-09-18;17:30:00;jeudi;162
2013;1001;Bd Kennedy devant le Chateau vers l'ouest;2013-09-24T14:00:00+02:00;2013-09-24;14:00:00;mardi;70
2012;1001;Bd Kennedy devant le Chateau vers l'est;2012-09-27T14:00:00+02:00;2012-09-27;14:00:00;jeudi;42
2011;1001;Bd Kennedy devant le Chateau vers l'ouest;2011-09-29T17:30:00+02:00;2011-09-29;17:30:00;jeudi;74
2010;1001;Bd Kennedy devant le Chateau vers l'est;2010-09-22T17:30:00+02:00;2010-09-22;17:30:00;mercredi;122
2009;1001;Bd Kennedy devant le Chateau vers l'est;2009-09-15T14:00:00+02:00;2009-09-15;14:00:00;mardi;38
2009;1001;Bd Kennedy devant le Chateau vers l'ouest;2009-09-15T17:30:00+02:00;2009-09-15;17:30:00;mardi;85
2009;1001;Bd Kennedy devant le Chateau vers l'ouest;2009-09-22T17:30:00+02:00;2009-09-22;17:30:00;mardi;84
2008;1001;Bd Kennedy devant le Chateau vers l'est;2008-09-17T14:00:00+02:00;2008-09-17;14:00:00;mercredi;61
2007;1001;Bd Kennedy devant le Chateau vers l'est;2007-09-12T17:30:00+02:00;2007-09-12;17:30:00;mercredi;75
2007;1001;Bd Kennedy devant le Chateau vers l'ouest;2007-09-12T14:00:00+02:00;2007-09-12;14:00:00;mercredi;44
2004;1001;Bd Kennedy devant le Chateau vers l'est;2004-09-15T14:00:00+02:00;2004-09-15;14:00:00;mercredi;35
2004;1001;Bd Kennedy devant le Chateau vers l'ouest;2004-09-22T14:00:00+02:00;2004-09-22;14:00:00;mercredi;45
2002;1001;Bd Kennedy devant le Chateau vers l'ouest;2002-09-15T14:00:00+02:00;2002-09-15;14:00:00;dimanche;41
1999;1001;Bd Kennedy devant le Chateau vers l'est;1999-09-22T17:30:00+02:00;1999-09-22;17:30:00;mercredi;49
1998;1001;Bd Kennedy devant le Chateau vers l'est;1998-09-15T17:30:00+02:00;1998-09-15;17:30:00;mardi;16
1998;1001;Bd Kennedy devant le Chateau venant du nord;1998-09-15T14:00:00+02:00;1998-09-15;14:00:00;mardi;
1998;1001;Bd Kennedy devant le Chateau venant du nord;1998-09-22T17:30:00+02:00;1998-09-22;17:30:00;mardi;
2018;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2018-09-20T17:30:00+02:00;2018-09-20;17:30:00;jeudi;36
2018;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2018-09-27T17:30:00+02:00;2018-09-27;17:30:00;jeudi;36
2018;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2018-09-27T17:30:00+02:00;2018-09-27;17:30:00;jeudi;90
2018;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2018-09-20T14:00:00+02:00;2018-09-20;14:00:00;jeudi;26
2017;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2017-09-28T14:00:00+02:00;2017-09-28;14:00:00;jeudi;25
2017;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2017-09-21T17:30:00+02:00;2017-09-21;17:30:00;jeudi;42
2016;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2016-09-22T17:30:00+02:00;2016-09-22;17:30:00;jeudi;83
2016;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2016-09-22T14:00:00+02:00;2016-09-22;14:00:00;jeudi;16
2016;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2016-09-29T14:00:00+02:00;2016-09-29;14:00:00;jeudi;15
2016;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2016-09-22T17:30:00+02:00;2016-09-22;17:30:00;jeudi;67
2016;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2016-09-29T14:00:00+02:00;2016-09-29;14:00:00;jeudi;13
2015;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2015-09-24T14:00:00+02:00;2015-09-24;14:00:00;jeudi;24
2015;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2015-09-24T17:30:00+02:00;2015-09-24;17:30:00;jeudi;50
2015;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2015-09-24T14:00:00+02:00;2015-09-24;14:00:00;jeudi;9
2014;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2014-09-18T17:30:00+02:00;2014-09-18;17:30:00;jeudi;31
2014;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2014-09-25T17:30:00+02:00;2014-09-25;17:30:00;jeudi;59
2012;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2012-09-20T17:30:00+02:00;2012-09-20;17:30:00;jeudi;62
2012;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2012-09-27T17:30:00+02:00;2012-09-27;17:30:00;jeudi;38
2011;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2011-09-29T14:00:00+02:00;2011-09-29;14:00:00;jeudi;25
2011;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2011-09-29T14:00:00+02:00;2011-09-29;14:00:00;jeudi;21
2011;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2011-09-29T14:00:00+02:00;2011-09-29;14:00:00;jeudi;12
2011;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2011-09-29T17:30:00+02:00;2011-09-29;17:30:00;jeudi;41
2011;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2011-09-22T14:00:00+02:00;2011-09-22;14:00:00;jeudi;23
2009;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2009-09-15T17:30:00+02:00;2009-09-15;17:30:00;mardi;34
2009;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2009-09-22T14:00:00+02:00;2009-09-22;14:00:00;mardi;21
2009;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2009-09-22T14:00:00+02:00;2009-09-22;14:00:00;mardi;7
2008;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2008-09-10T17:30:00+02:00;2008-09-10;17:30:00;mercredi;30
2008;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2008-09-17T17:30:00+02:00;2008-09-17;17:30:00;mercredi;36
2007;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2007-09-12T14:00:00+02:00;2007-09-12;14:00:00;mercredi;35
2007;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2007-09-12T17:30:00+02:00;2007-09-12;17:30:00;mercredi;31
2005;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2005-09-22T14:00:00+02:00;2005-09-22;14:00:00;jeudi;9
2004;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2004-09-22T14:00:00+02:00;2004-09-22;14:00:00;mercredi;15
2003;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2003-09-15T17:30:00+02:00;2003-09-15;17:30:00;lundi;40
2003;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2003-09-15T17:30:00+02:00;2003-09-15;17:30:00;lundi;24
2002;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2002-09-22T17:30:00+02:00;2002-09-22;17:30:00;dimanche;9
2002;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2002-09-15T14:00:00+02:00;2002-09-15;14:00:00;dimanche;2
2002;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2002-09-15T17:30:00+02:00;2002-09-15;17:30:00;dimanche;8
2001;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2001-09-22T17:30:00+02:00;2001-09-22;17:30:00;samedi;8
2001;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2001-09-15T17:30:00+02:00;2001-09-15;17:30:00;samedi;6
2001;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2001-09-15T17:30:00+02:00;2001-09-15;17:30:00;samedi;1
2001;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2001-09-22T17:30:00+02:00;2001-09-22;17:30:00;samedi;8
1999;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;1999-09-15T14:00:00+02:00;1999-09-15;14:00:00;mercredi;27
1999;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;1999-09-15T17:30:00+02:00;1999-09-15;17:30:00;mercredi;34
1998;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;1998-09-15T14:00:00+02:00;1998-09-15;14:00:00;mardi;5
2019;1003;Pont Audibert rive Nord vers le sud;2019-09-26T14:00:00+02:00;2019-09-26;14:00:00;jeudi;117
2019;1003;Pont Audibert rive Nord vers l'est;2019-09-19T14:00:00+02:00;2019-09-19;14:00:00;jeudi;55
2018;1003;Pont Audibert rive Nord vers le nord;2018-09-20T14:00:00+02:00;2018-09-20;14:00:00;jeudi;105
2018;1003;Pont Audibert rive Nord vers le sud;2018-09-27T17:30:00+02:00;2018-09-27;17:30:00;jeudi;375
2018;1003;Pont Audibert rive Nord vers l'est;2018-09-20T17:30:00+02:00;2018-09-20;17:30:00;jeudi;65
2018;1003;Pont Audibert rive Nord vers l'ouest;2018-09-27T17:30:00+02:00;2018-09-27;17:30:00;jeudi;71
2017;1003;Pont Audibert rive Nord vers l'est;2017-09-21T14:00:00+02:00;2017-09-21;14:00:00;jeudi;33
2017;1003;Pont Audibert rive Nord vers l'est;2017-09-28T17:30:00+02:00;2017-09-28;17:30:00;jeudi;54
2016;1003;Pont Audibert rive Nord vers l'est;2016-09-22T17:30:00+02:00;2016-09-22;17:30:00;jeudi;65
2016;1003;Pont Audibert rive Nord vers l'ouest;2016-09-22T17:30:00+02:00;2016-09-22;17:30:00;jeudi;48
2015;1003;Pont Audibert rive Nord vers le sud;2015-09-24T14:00:00+02:00;2015-09-24;14:00:00;jeudi;67
2014;1003;Pont Audibert rive Nord vers le nord;2014-09-25T14:00:00+02:00;2014-09-25;14:00:00;jeudi;68
2014;1003;Pont Audibert rive Nord vers l'ouest;2014-09-18T17:30:00+02:00;2014-09-18;17:30:00;jeudi;30
2013;1003;Pont Audibert rive Nord vers le nord;2013-10-01T17:30:00+02:00;2013-10-01;17:30:00;mardi;80
2012;1003;Pont Audibert rive Nord vers l'est;2012-09-20T14:00:00+02:00;2012-09-20;14:00:00;jeudi;15
2012;1003;Pont Audibert rive Nord vers l'est;2012-09-27T17:30:00+02:00;2012-09-27;17:30:00;jeudi;27
2012;1003;Pont Audibert rive Nord vers l'ouest;2012-09-27T14:00:00+02:00;2012-09-27;14:00:00;jeudi;14
2011;1003;Pont Audibert rive Nord vers l'ouest;2011-09-22T17:30:00+02:00;2011-09-22;17:30:00;jeudi;11
2010;1003;Pont Audibert rive Nord vers le sud;2010-09-15T17:30:00+02:00;2010-09-15;17:30:00;mercredi;101
2010;1003;Pont Audibert rive Nord vers l'est;2010-09-15T17:30:00+02:00;2010-09-15;17:30:00;mercredi;11
2009;1003;Pont Audibert rive Nord vers le nord;2009-09-22T14:00:00+02:00;2009-09-22;14:00:00;mardi;50
2009;1003;Pont Audibert rive Nord vers l'ouest;2009-09-15T17:30:00+02:00;2009-09-15;17:30:00;mardi;4
2009;1003;Pont Audibert rive Nord vers l'ouest;2009-09-22T14:00:00+02:00;2009-09-22;14:00:00;mardi;3
2008;1003;Pont Audibert rive Nord vers le nord;2008-09-10T17:30:00+02:00;2008-09-10;17:30:00;mercredi;80
2007;1003;Pont Audibert rive Nord vers l'est;2007-09-19T17:30:00+02:00;2007-09-19;17:30:00;mercredi;
2006;1003;Pont Audibert rive Nord vers le nord;2006-09-22T17:30:00+02:00;2006-09-22;17:30:00;vendredi;52
2006;1003;Pont Audibert rive Nord vers l'est;2006-09-22T17:30:00+02:00;2006-09-22;17:30:00;vendredi;2
2005;1003;Pont Audibert rive Nord vers le nord;2005-09-15T14:00:00+02:00;2005-09-15;14:00:00;jeudi;33
2005;1003;Pont Audibert rive Nord vers le sud;2005-09-15T14:00:00+02:00;2005-09-15;14:00:00;jeudi;32
2005;1003;Pont Audibert rive Nord vers l'est;2005-09-22T14:00:00+02:00;2005-09-22;14:00:00;jeudi;2
2004;1003;Pont Audibert rive Nord vers le nord;2004-09-15T14:00:00+02:00;2004-09-15;14:00:00;mercredi;30
2003;1003;Pont Audibert rive Nord vers le sud;2003-09-15T14:00:00+02:00;2003-09-15;14:00:00;lundi;30
2003;1003;Pont Audibert rive Nord vers l'est;2003-09-15T17:30:00+02:00;2003-09-15;17:30:00;lundi;7
2002;1003;Pont Audibert rive Nord vers le nord;2002-09-15T17:30:00+02:00;2002-09-15;17:30:00;dimanche;10
2002;1003;Pont Audibert rive Nord vers le sud;2002-09-15T17:30:00+02:00;2002-09-15;17:30:00;dimanche;12
2000;1003;Pont Audibert rive Nord vers le sud;2000-09-22T14:00:00+02:00;2000-09-22;14:00:00;vendredi;27
2000;1003;Pont Audibert rive Nord vers l'ouest;2000-09-22T14:00:00+02:00;2000-09-22;14:00:00;vendredi;10
1999;1003;Pont Audibert rive Nord vers le nord;1999-09-22T17:30:00+02:00;1999-09-22;17:30:00;mercredi;35
1999;1003;Pont Audibert rive Nord vers le sud;1999-09-15T14:00:00+02:00;1999-09-15;14:00:00;mercredi;39
1999;1003;Pont Audibert rive Nord vers l'est;1999-09-15T17:30:00+02:00;1999-09-15;17:30:00;mercredi;6
1999;1003;Pont Audibert rive Nord vers l'ouest;1999-09-15T14:00:00+02:00;1999-09-15;14:00:00;mercredi;2
1998;1003;Pont Audibert rive Nord;1998-09-22T14:00:00+02:00;1998-09-22;14:00:00;mardi;60
2019;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2019-09-26T17:30:00+02:00;2019-09-26;17:30:00;jeudi;25
2019;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2019-09-26T17:30:00+02:00;2019-09-26;17:30:00;jeudi;9
2018;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2018-09-20T17:30:00+02:00;2018-09-20;17:30:00;jeudi;20
2017;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2017-09-21T17:30:00+02:00;2017-09-21;17:30:00;jeudi;460
2017;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2017-09-28T14:00:00+02:00;2017-09-28;14:00:00;jeudi;139
2017;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2017-09-28T14:00:00+02:00;2017-09-28;14:00:00;jeudi;19
2017;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2017-09-28T17:30:00+02:00;2017-09-28;17:30:00;jeudi;21
2016;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2016-09-22T17:30:00+02:00;2016-09-22;17:30:00;jeudi;304
2016;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2016-09-22T14:00:00+02:00;2016-09-22;14:00:00;jeudi;170
2016;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2016-09-22T17:30:00+02:00;2016-09-22;17:30:00;jeudi;3
2016;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2016-09-29T14:00:00+02:00;2016-09-29;14:00:00;jeudi;18
2014;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2014-09-18T14:00:00+02:00;2014-09-18;14:00:00;jeudi;131
2013;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2013-09-24T14:00:00+02:00;2013-09-24;14:00:00;mardi;69
2013;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2013-09-24T14:00:00+02:00;2013-09-24;14:00:00;mardi;73
2013;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2013-09-24T17:30:00+02:00;2013-09-24;17:30:00;mardi;286
2013;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2013-10-01T14:00:00+02:00;2013-10-01;14:00:00;mardi;5
2013;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2013-10-01T17:30:00+02:00;2013-10-01;17:30:00;mardi;9
2012;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2012-09-20T17:30:00+02:00;2012-09-20;17:30:00;jeudi;187
2012;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2012-09-20T14:00:00+02:00;2012-09-20;14:00:00;jeudi;74
2012;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2012-09-27T17:30:00+02:00;2012-09-27;17:30:00;jeudi;172
2010;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2010-09-15T17:30:00+02:00;2010-09-15;17:30:00;mercredi;15
2009;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2009-09-15T14:00:00+02:00;2009-09-15;14:00:00;mardi;68
2008;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2008-09-10T14:00:00+02:00;2008-09-10;14:00:00;mercredi;26
2007;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2007-09-19T17:30:00+02:00;2007-09-19;17:30:00;mercredi;13
2006;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2006-09-29T17:30:00+02:00;2006-09-29;17:30:00;vendredi;114
2006;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2006-09-22T14:00:00+02:00;2006-09-22;14:00:00;vendredi;52
2006;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2006-09-29T17:30:00+02:00;2006-09-29;17:30:00;vendredi;0
2005;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2005-09-15T17:30:00+02:00;2005-09-15;17:30:00;jeudi;120
2005;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2005-09-22T14:00:00+02:00;2005-09-22;14:00:00;jeudi;74
2005;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2005-09-22T14:00:00+02:00;2005-09-22;14:00:00;jeudi;90
2005;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2005-09-22T17:30:00+02:00;2005-09-22;17:30:00;jeudi;112
2004;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2004-09-15T14:00:00+02:00;2004-09-15;14:00:00;mercredi;65
2004;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2004-09-15T14:00:00+02:00;2004-09-15;14:00:00;mercredi;5
2003;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2003-09-15T14:00:00+02:00;2003-09-15;14:00:00;lundi;4
2003;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2003-09-22T14:00:00+02:00;2003-09-22;14:00:00;lundi;5
2003;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2003-09-15T14:00:00+02:00;2003-09-15;14:00:00;lundi;2
2002;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2002-09-15T17:30:00+02:00;2002-09-15;17:30:00;dimanche;153
2002;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2002-09-22T17:30:00+02:00;2002-09-22;17:30:00;dimanche;
2001;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2001-09-22T17:30:00+02:00;2001-09-22;17:30:00;samedi;95
2001;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2001-09-15T17:30:00+02:00;2001-09-15;17:30:00;samedi;7
2001;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2001-09-22T17:30:00+02:00;2001-09-22;17:30:00;samedi;15
2000;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2000-09-15T17:30:00+02:00;2000-09-15;17:30:00;vendredi;57
2000;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2000-09-22T14:00:00+02:00;2000-09-22;14:00:00;vendredi;94
2000;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2000-09-22T17:30:00+02:00;2000-09-22;17:30:00;vendredi;1
1999;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;1999-09-22T17:30:00+02:00;1999-09-22;17:30:00;mercredi;108
1998;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;1998-09-22T14:00:00+02:00;1998-09-22;14:00:00;mardi;95
1998;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;1998-09-15T17:30:00+02:00;1998-09-15;17:30:00;mardi;3
2020;1000;Quai de la Fosse vers l'ouest;2020-09-24T17:30:00+02:00;2020-09-24;17:30:00;jeudi;359
2020;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2020-09-24T14:00:00+02:00;2020-09-24;14:00:00;jeudi;17
2020;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2020-09-17T14:00:00+02:00;2020-09-17;14:00:00;jeudi;34
2020;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2020-09-24T17:30:00+02:00;2020-09-24;17:30:00;jeudi;65
2020;1003;Pont Audibert rive Nord vers le nord;2020-09-24T14:00:00+02:00;2020-09-24;14:00:00;jeudi;77
2020;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2020-09-17T14:00:00+02:00;2020-09-17;14:00:00;jeudi;139
2020;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2020-09-24T14:00:00+02:00;2020-09-24;14:00:00;jeudi;73
2018;1000;Quai de la Fosse vers l'est;2018-09-20T14:00:00+02:00;2018-09-20;14:00:00;jeudi;104
2018;1000;Quai de la Fosse vers l'est;2018-09-27T17:30:00+02:00;2018-09-27;17:30:00;jeudi;239
2018;1000;Quai de la Fosse vers l'ouest;2018-09-20T17:30:00+02:00;2018-09-20;17:30:00;jeudi;360
2017;1000;Quai de la Fosse vers l'est;2017-09-21T14:00:00+02:00;2017-09-21;14:00:00;jeudi;197
2017;1000;Quai de la Fosse vers l'ouest;2017-09-21T17:30:00+02:00;2017-09-21;17:30:00;jeudi;332
2016;1000;Quai de la Fosse vers l'est;2016-09-29T17:30:00+02:00;2016-09-29;17:30:00;jeudi;225
2015;1000;Quai de la Fosse vers l'ouest;2015-09-24T17:30:00+02:00;2015-09-24;17:30:00;jeudi;199
2014;1000;Quai de la Fosse vers l'est;2014-09-18T17:30:00+02:00;2014-09-18;17:30:00;jeudi;136
2014;1000;Quai de la Fosse vers l'ouest;2014-09-18T17:30:00+02:00;2014-09-18;17:30:00;jeudi;229
2013;1000;Quai de la Fosse vers l'ouest;2013-10-01T17:30:00+02:00;2013-10-01;17:30:00;mardi;176
2012;1000;Quai de la Fosse vers l'est;2012-09-20T14:00:00+02:00;2012-09-20;14:00:00;jeudi;65
2012;1000;Quai de la Fosse vers l'ouest;2012-09-27T17:30:00+02:00;2012-09-27;17:30:00;jeudi;160
2007;1000;Quai de la Fosse vers l'ouest;2007-09-12T17:30:00+02:00;2007-09-12;17:30:00;mercredi;111
2007;1000;Quai de la Fosse vers l'ouest;2007-09-19T14:00:00+02:00;2007-09-19;14:00:00;mercredi;42
2005;1000;Quai de la Fosse vers l'est;2005-09-22T17:30:00+02:00;2005-09-22;17:30:00;jeudi;68
2005;1000;Quai de la Fosse vers l'ouest;2005-09-15T17:30:00+02:00;2005-09-15;17:30:00;jeudi;69
2002;1000;Quai de la Fosse vers l'est;2002-09-15T14:00:00+02:00;2002-09-15;14:00:00;dimanche;45
2002;1000;Quai de la Fosse vers l'est;2002-09-22T14:00:00+02:00;2002-09-22;14:00:00;dimanche;38
2002;1000;Quai de la Fosse vers l'est;2002-09-22T17:30:00+02:00;2002-09-22;17:30:00;dimanche;23
2001;1000;Quai de la Fosse vers l'est;2001-09-15T17:30:00+02:00;2001-09-15;17:30:00;samedi;23
2000;1000;Quai de la Fosse vers l'ouest;2000-09-15T14:00:00+02:00;2000-09-15;14:00:00;vendredi;21
1999;1000;Quai de la Fosse vers l'est;1999-09-15T14:00:00+02:00;1999-09-15;14:00:00;mercredi;30
1999;1000;Quai de la Fosse vers l'ouest;1999-09-15T17:30:00+02:00;1999-09-15;17:30:00;mercredi;72
2019;1001;Bd Kennedy devant le Chateau vers l'est;2019-09-19T17:30:00+02:00;2019-09-19;17:30:00;jeudi;260
2018;1001;Bd Kennedy devant le Chateau vers l'ouest;2018-09-27T14:00:00+02:00;2018-09-27;14:00:00;jeudi;97
2014;1001;Bd Kennedy devant le Chateau vers l'ouest;2014-09-25T17:30:00+02:00;2014-09-25;17:30:00;jeudi;116
2013;1001;Bd Kennedy devant le Chateau vers l'ouest;2013-10-01T14:00:00+02:00;2013-10-01;14:00:00;mardi;40
2011;1001;Bd Kennedy devant le Chateau vers l'est;2011-09-22T17:30:00+02:00;2011-09-22;17:30:00;jeudi;170
2011;1001;Bd Kennedy devant le Chateau vers l'est;2011-09-29T17:30:00+02:00;2011-09-29;17:30:00;jeudi;113
2009;1001;Bd Kennedy devant le Chateau vers l'est;2009-09-15T17:30:00+02:00;2009-09-15;17:30:00;mardi;107
2006;1001;Bd Kennedy devant le Chateau vers l'est;2006-09-22T14:00:00+02:00;2006-09-22;14:00:00;vendredi;37
2005;1001;Bd Kennedy devant le Chateau vers l'est;2005-09-15T14:00:00+02:00;2005-09-15;14:00:00;jeudi;44
2004;1001;Bd Kennedy devant le Chateau vers l'est;2004-09-22T17:30:00+02:00;2004-09-22;17:30:00;mercredi;59
2004;1001;Bd Kennedy devant le Chateau vers l'ouest;2004-09-22T17:30:00+02:00;2004-09-22;17:30:00;mercredi;44
2002;1001;Bd Kennedy devant le Chateau vers l'ouest;2002-09-15T17:30:00+02:00;2002-09-15;17:30:00;dimanche;47
2002;1001;Bd Kennedy devant le Chateau vers l'ouest;2002-09-22T14:00:00+02:00;2002-09-22;14:00:00;dimanche;41
2000;1001;Bd Kennedy devant le Chateau vers l'est;2000-09-15T17:30:00+02:00;2000-09-15;17:30:00;vendredi;14
2000;1001;Bd Kennedy devant le Chateau vers l'ouest;2000-09-22T14:00:00+02:00;2000-09-22;14:00:00;vendredi;30
1999;1001;Bd Kennedy devant le Chateau vers l'est;1999-09-15T17:30:00+02:00;1999-09-15;17:30:00;mercredi;69
1999;1001;Bd Kennedy devant le Chateau vers l'est;1999-09-22T14:00:00+02:00;1999-09-22;14:00:00;mercredi;26
1999;1001;Bd Kennedy devant le Chateau venant du nord;1999-09-22T14:00:00+02:00;1999-09-22;14:00:00;mercredi;10
1998;1001;Bd Kennedy devant le Chateau vers l'est;1998-09-15T14:00:00+02:00;1998-09-15;14:00:00;mardi;23
1998;1001;Bd Kennedy devant le Chateau vers l'ouest;1998-09-22T14:00:00+02:00;1998-09-22;14:00:00;mardi;33
2019;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2019-09-19T17:30:00+02:00;2019-09-19;17:30:00;jeudi;30
2019;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2019-09-26T17:30:00+02:00;2019-09-26;17:30:00;jeudi;20
2018;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2018-09-27T17:30:00+02:00;2018-09-27;17:30:00;jeudi;80
2017;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2017-09-28T14:00:00+02:00;2017-09-28;14:00:00;jeudi;12
2016;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2016-09-29T17:30:00+02:00;2016-09-29;17:30:00;jeudi;72
2016;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2016-09-22T17:30:00+02:00;2016-09-22;17:30:00;jeudi;47
