Années de comptage;Identifiant du lieu de comptage;Nom du lieu de comptage;Date complète;Date;Heure;Jour de la semaine;Comptage relevé
2013;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2013-10-01T14:00:00+02:00;2013-10-01;14:00:00;mardi;12
2013;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2013-10-01T17:30:00+02:00;2013-10-01;17:30:00;mardi;28
2013;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2013-10-01T14:00:00+02:00;2013-10-01;14:00:00;mardi;12
2012;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2012-09-20T14:00:00+02:00;2012-09-20;14:00:00;jeudi;13
2012;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2012-09-20T17:30:00+02:00;2012-09-20;17:30:00;jeudi;44
2012;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2012-09-20T17:30:00+02:00;2012-09-20;17:30:00;jeudi;65
2012;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2012-09-27T17:30:00+02:00;2012-09-27;17:30:00;jeudi;50
2010;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2010-09-22T14:00:00+02:00;2010-09-22;14:00:00;mercredi;11
2009;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2009-09-22T17:30:00+02:00;2009-09-22;17:30:00;mardi;34
2009;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2009-09-15T17:30:00+02:00;2009-09-15;17:30:00;mardi;49
2009;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2009-09-22T17:30:00+02:00;2009-09-22;17:30:00;mardi;9
2009;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2009-09-15T14:00:00+02:00;2009-09-15;14:00:00;mardi;6
2008;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2008-09-10T17:30:00+02:00;2008-09-10;17:30:00;mercredi;16
2008;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2008-09-17T17:30:00+02:00;2008-09-17;17:30:00;mercredi;11
2008;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2008-09-10T14:00:00+02:00;2008-09-10;14:00:00;mercredi;11
2007;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2007-09-12T14:00:00+02:00;2007-09-12;14:00:00;mercredi;19
2007;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2007-09-12T17:30:00+02:00;2007-09-12;17:30:00;mercredi;57
2007;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2007-09-19T14:00:00+02:00;2007-09-19;14:00:00;mercredi;19
2007;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2007-09-19T17:30:00+02:00;2007-09-19;17:30:00;mercredi;32
2006;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2006-09-29T14:00:00+02:00;2006-09-29;14:00:00;vendredi;12
2006;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2006-09-29T17:30:00+02:00;2006-09-29;17:30:00;vendredi;48
2006;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2006-09-22T17:30:00+02:00;2006-09-22;17:30:00;vendredi;32
2005;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2005-09-15T14:00:00+02:00;2005-09-15;14:00:00;jeudi;18
2005;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2005-09-22T17:30:00+02:00;2005-09-22;17:30:00;jeudi;76
2005;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2005-09-15T14:00:00+02:00;2005-09-15;14:00:00;jeudi;8
2005;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2005-09-15T17:30:00+02:00;2005-09-15;17:30:00;jeudi;25
2005;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2005-09-22T17:30:00+02:00;2005-09-22;17:30:00;jeudi;40
2004;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2004-09-22T17:30:00+02:00;2004-09-22;17:30:00;mercredi;17
2004;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2004-09-15T14:00:00+02:00;2004-09-15;14:00:00;mercredi;13
2004;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2004-09-15T17:30:00+02:00;2004-09-15;17:30:00;mercredi;33
2003;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2003-09-15T14:00:00+02:00;2003-09-15;14:00:00;lundi;10
2001;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2001-09-15T17:30:00+02:00;2001-09-15;17:30:00;samedi;4
2000;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2000-09-22T14:00:00+02:00;2000-09-22;14:00:00;vendredi;19
2000;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2000-09-22T14:00:00+02:00;2000-09-22;14:00:00;vendredi;22
2000;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2000-09-22T14:00:00+02:00;2000-09-22;14:00:00;vendredi;11
1998;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;1998-09-15T14:00:00+02:00;1998-09-15;14:00:00;mardi;10
1998;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;1998-09-22T14:00:00+02:00;1998-09-22;14:00:00;mardi;20
2019;1003;Pont Audibert rive Nord vers le sud;2019-09-19T17:30:00+02:00;2019-09-19;17:30:00;jeudi;430
2019;1003;Pont Audibert rive Nord vers l'est;2019-09-26T14:00:00+02:00;2019-09-26;14:00:00;jeudi;29
2019;1003;Pont Audibert rive Nord vers l'est;2019-09-26T17:30:00+02:00;2019-09-26;17:30:00;jeudi;45
2018;1003;Pont Audibert rive Nord vers le sud;2018-09-27T14:00:00+02:00;2018-09-27;14:00:00;jeudi;142
2017;1003;Pont Audibert rive Nord vers le sud;2017-09-21T14:00:00+02:00;2017-09-21;14:00:00;jeudi;113
2017;1003;Pont Audibert rive Nord vers l'ouest;2017-09-21T14:00:00+02:00;2017-09-21;14:00:00;jeudi;31
2017;1003;Pont Audibert rive Nord vers l'ouest;2017-09-21T17:30:00+02:00;2017-09-21;17:30:00;jeudi;64
2016;1003;Pont Audibert rive Nord vers le sud;2016-09-29T14:00:00+02:00;2016-09-29;14:00:00;jeudi;103
2016;1003;Pont Audibert rive Nord vers l'est;2016-09-29T14:00:00+02:00;2016-09-29;14:00:00;jeudi;49
2015;1003;Pont Audibert rive Nord vers le sud;2015-09-17T17:30:00+02:00;2015-09-17;17:30:00;jeudi;230
2014;1003;Pont Audibert rive Nord vers l'ouest;2014-09-18T14:00:00+02:00;2014-09-18;14:00:00;jeudi;29
2012;1003;Pont Audibert rive Nord vers le sud;2012-09-20T17:30:00+02:00;2012-09-20;17:30:00;jeudi;168
2011;1003;Pont Audibert rive Nord vers le sud;2011-09-22T14:00:00+02:00;2011-09-22;14:00:00;jeudi;60
2011;1003;Pont Audibert rive Nord vers le sud;2011-09-29T17:30:00+02:00;2011-09-29;17:30:00;jeudi;146
2011;1003;Pont Audibert rive Nord vers l'ouest;2011-09-29T14:00:00+02:00;2011-09-29;14:00:00;jeudi;8
2010;1003;Pont Audibert rive Nord vers le nord;2010-09-15T14:00:00+02:00;2010-09-15;14:00:00;mercredi;29
2010;1003;Pont Audibert rive Nord vers le nord;2010-09-22T17:30:00+02:00;2010-09-22;17:30:00;mercredi;66
2010;1003;Pont Audibert rive Nord vers le sud;2010-09-22T17:30:00+02:00;2010-09-22;17:30:00;mercredi;160
2010;1003;Pont Audibert rive Nord vers l'est;2010-09-22T14:00:00+02:00;2010-09-22;14:00:00;mercredi;8
2009;1003;Pont Audibert rive Nord vers le sud;2009-09-15T14:00:00+02:00;2009-09-15;14:00:00;mardi;41
2009;1003;Pont Audibert rive Nord vers l'est;2009-09-15T17:30:00+02:00;2009-09-15;17:30:00;mardi;8
2009;1003;Pont Audibert rive Nord vers l'ouest;2009-09-15T14:00:00+02:00;2009-09-15;14:00:00;mardi;2
2009;1003;Pont Audibert rive Nord vers l'ouest;2009-09-22T17:30:00+02:00;2009-09-22;17:30:00;mardi;4
2008;1003;Pont Audibert rive Nord vers le nord;2008-09-10T14:00:00+02:00;2008-09-10;14:00:00;mercredi;36
2008;1003;Pont Audibert rive Nord vers le sud;2008-09-17T17:30:00+02:00;2008-09-17;17:30:00;mercredi;134
2008;1003;Pont Audibert rive Nord vers l'ouest;2008-09-17T17:30:00+02:00;2008-09-17;17:30:00;mercredi;
2006;1003;Pont Audibert rive Nord vers le sud;2006-09-22T14:00:00+02:00;2006-09-22;14:00:00;vendredi;30
2006;1003;Pont Audibert rive Nord vers le sud;2006-09-29T14:00:00+02:00;2006-09-29;14:00:00;vendredi;38
2005;1003;Pont Audibert rive Nord vers le sud;2005-09-22T14:00:00+02:00;2005-09-22;14:00:00;jeudi;42
2005;1003;Pont Audibert rive Nord vers l'est;2005-09-15T14:00:00+02:00;2005-09-15;14:00:00;jeudi;3
2003;1003;Pont Audibert rive Nord vers l'ouest;2003-09-22T14:00:00+02:00;2003-09-22;14:00:00;lundi;3
2003;1003;Pont Audibert rive Nord vers l'ouest;2003-09-22T17:30:00+02:00;2003-09-22;17:30:00;lundi;6
2002;1003;Pont Audibert rive Nord vers le nord;2002-09-22T17:30:00+02:00;2002-09-22;17:30:00;dimanche;9
2001;1003;Pont Audibert rive Nord vers le nord;2001-09-22T17:30:00+02:00;2001-09-22;17:30:00;samedi;20
2001;1003;Pont Audibert rive Nord vers l'ouest;2001-09-15T17:30:00+02:00;2001-09-15;17:30:00;samedi;2
2019;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2019-09-19T17:30:00+02:00;2019-09-19;17:30:00;jeudi;537
2019;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2019-09-26T17:30:00+02:00;2019-09-26;17:30:00;jeudi;344
2019;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2019-09-19T17:30:00+02:00;2019-09-19;17:30:00;jeudi;12
2019;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2019-09-26T14:00:00+02:00;2019-09-26;14:00:00;jeudi;20
2018;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2018-09-27T17:30:00+02:00;2018-09-27;17:30:00;jeudi;368
2018;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2018-09-27T14:00:00+02:00;2018-09-27;14:00:00;jeudi;31
2017;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2017-09-21T17:30:00+02:00;2017-09-21;17:30:00;jeudi;22
2017;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2017-09-28T17:30:00+02:00;2017-09-28;17:30:00;jeudi;27
2017;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2017-09-21T14:00:00+02:00;2017-09-21;14:00:00;jeudi;7
2017;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2017-09-28T14:00:00+02:00;2017-09-28;14:00:00;jeudi;29
2016;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2016-09-22T14:00:00+02:00;2016-09-22;14:00:00;jeudi;118
2016;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2016-09-22T17:30:00+02:00;2016-09-22;17:30:00;jeudi;310
2016;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2016-09-29T17:30:00+02:00;2016-09-29;17:30:00;jeudi;28
2016;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2016-09-22T14:00:00+02:00;2016-09-22;14:00:00;jeudi;5
2015;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2015-09-24T14:00:00+02:00;2015-09-24;14:00:00;jeudi;93
2014;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2014-09-25T14:00:00+02:00;2014-09-25;14:00:00;jeudi;129
2014;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2014-09-18T17:30:00+02:00;2014-09-18;17:30:00;jeudi;38
2013;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2013-10-01T17:30:00+02:00;2013-10-01;17:30:00;mardi;173
2013;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2013-10-01T17:30:00+02:00;2013-10-01;17:30:00;mardi;14
2012;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2012-09-20T14:00:00+02:00;2012-09-20;14:00:00;jeudi;69
2011;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2011-09-22T14:00:00+02:00;2011-09-22;14:00:00;jeudi;73
2011;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2011-09-22T17:30:00+02:00;2011-09-22;17:30:00;jeudi;137
2011;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2011-09-22T17:30:00+02:00;2011-09-22;17:30:00;jeudi;15
2010;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2010-09-15T17:30:00+02:00;2010-09-15;17:30:00;mercredi;5
2010;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2010-09-22T14:00:00+02:00;2010-09-22;14:00:00;mercredi;10
2009;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2009-09-15T17:30:00+02:00;2009-09-15;17:30:00;mardi;181
2009;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2009-09-15T14:00:00+02:00;2009-09-15;14:00:00;mardi;10
2008;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2008-09-10T14:00:00+02:00;2008-09-10;14:00:00;mercredi;70
2008;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2008-09-10T17:30:00+02:00;2008-09-10;17:30:00;mercredi;138
2008;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2008-09-17T17:30:00+02:00;2008-09-17;17:30:00;mercredi;142
2008;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2008-09-10T17:30:00+02:00;2008-09-10;17:30:00;mercredi;84
2008;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2008-09-17T14:00:00+02:00;2008-09-17;14:00:00;mercredi;30
2007;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2007-09-12T17:30:00+02:00;2007-09-12;17:30:00;mercredi;109
2006;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2006-09-29T14:00:00+02:00;2006-09-29;14:00:00;vendredi;55
2006;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2006-09-29T17:30:00+02:00;2006-09-29;17:30:00;vendredi;0
2005;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2005-09-22T17:30:00+02:00;2005-09-22;17:30:00;jeudi;10
2005;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2005-09-15T14:00:00+02:00;2005-09-15;14:00:00;jeudi;5
2004;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2004-09-15T17:30:00+02:00;2004-09-15;17:30:00;mercredi;85
2004;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2004-09-22T14:00:00+02:00;2004-09-22;14:00:00;mercredi;88
2004;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2004-09-15T17:30:00+02:00;2004-09-15;17:30:00;mercredi;133
2004;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2004-09-15T17:30:00+02:00;2004-09-15;17:30:00;mercredi;7
2004;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2004-09-22T14:00:00+02:00;2004-09-22;14:00:00;mercredi;6
2003;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2003-09-15T14:00:00+02:00;2003-09-15;14:00:00;lundi;52
2003;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2003-09-15T14:00:00+02:00;2003-09-15;14:00:00;lundi;62
2002;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2002-09-15T14:00:00+02:00;2002-09-15;14:00:00;dimanche;102
2002;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;2002-09-22T14:00:00+02:00;2002-09-22;14:00:00;dimanche;40
2001;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2001-09-15T14:00:00+02:00;2001-09-15;14:00:00;samedi;22
2001;1004;Cours des 50 otages à l'intersection de la rue des halles vers le sud;2001-09-15T17:30:00+02:00;2001-09-15;17:30:00;samedi;34
2000;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;2000-09-15T17:30:00+02:00;2000-09-15;17:30:00;vendredi;6
2000;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'ouest;2000-09-15T17:30:00+02:00;2000-09-15;17:30:00;vendredi;6
1999;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;1999-09-15T17:30:00+02:00;1999-09-15;17:30:00;mercredi;81
1999;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;1999-09-22T14:00:00+02:00;1999-09-22;14:00:00;mercredi;136
1998;1004;Cours des 50 otages à l'intersection de la rue des halles vers le nord;1998-09-22T14:00:00+02:00;1998-09-22;14:00:00;mardi;91
1998;1004;Cours des 50 otages à l'intersection de la rue des halles vers l'est;1998-09-22T17:30:00+02:00;1998-09-22;17:30:00;mardi;7
